p,eps,L,mu,c,episode,convergence
1.0,0.0,0.5,0.0,2*(1-eps),"[0.12132034223072091, 0.10355338166817339, 0.0903255218196894, 0.08009430955534066, 0.07194505989689212, 0.06530096976802066, 0.05978028800192309, 0.05512030210003011, 0.05113428526882998, 0.04768589233398754, 0.0446732167488221, 0.04201858934071174, 0.0396617590701135, 0.037555276144055606, 0.03566126432724251, 0.03394912044712169, 0.0323938494112503, 0.030974834349781828, 0.029674921314415847]",True
1.0,0.0,0.5,0.0,1.5*(1-eps),"[0.12132034223072091, 0.10355338166817339, 0.0903255218196894, 0.08009430955534066, 0.07194505989689212, 0.06530096976802066, 0.05978028800192309, 0.05512030210003011, 0.05113428526882998, 0.04768589233398754, 0.0446732167488221, 0.04201858934071174, 0.0396617590701135, 0.037555276144055606, 0.03566126432724251, 0.03394912044712169, 0.0323938494112503, 0.030974834349781828, 0.029674921314415847]",True
1.0,0.0,0.5,0.0,1*(1-eps),"[0.12132034223072091, 0.10355338166817339, 0.0903255218196894, 0.08009430955534066, 0.07194505989689212, 0.06530096976802066, 0.05978028800192309, 0.05512030210003011, 0.05113428526882998, 0.04768589233398754, 0.0446732167488221, 0.04201858934071174, 0.0396617590701135, 0.037555276144055606, 0.03566126432724251, 0.03394912044712169, 0.0323938494112503, 0.030974834349781828, 0.029674921314415847]",True
1.0,0.0,0.5,0.0,0.5*(1-eps),"[0.1633634466189794, 0.14644660869656734, 0.13270459530803508, 0.12132033851353137, 0.11173499628200952, 0.10355338094301654, 0.09648820510987559, 0.09032552376196042, 0.08490279785797868, 0.0800943102448218, 0.07580128672954095, 0.07194506020202016, 0.06846219395298067, 0.06530095569878544, 0.062418795920039016, 0.05978028762748475, 0.0573557984336627, 0.05512029445102214, 0.053052529902760735]",True
1.0,0.0,0.5,0.0,0.25*(1-eps),"[0.19760267934491502, 0.1846990313438582, 0.1733773204481065, 0.163363448169007, 0.15444316470858302, 0.14644660904860998, 0.13923735904166684, 0.13270458667053317, 0.12675737472261495, 0.12132033488018656, 0.11633054076489634, 0.11173497945785171, 0.10748873061193091, 0.10355338834960216, 0.09989603179696219, 0.09648820533363518, 0.09330521611347935, 0.09032552387516028, 0.08753023672366193]",True
1.0,0.0,0.5,0.25,2*(1-eps),"[0.09799316098013683, 0.07700450591647565, 0.06177862381640425, 0.05039277638119, 0.04167530422624438, 0.03487327197888115, 0.029482131804397085, 0.025152335851383555, 0.021634945456417667, 0.018752486280383826, 0.01637378737420447, 0.014398571607436768, 0.012750042501652376, 0.011368295484672199, 0.010204107697878412, 0.009214776703207339, 0.008366659911672764, 0.007634064748127016, 0.0069967946836873175]",True
1.0,0.0,0.5,0.25,1.5*(1-eps),"[0.09799316098013683, 0.07700450591647565, 0.06177862381640425, 0.05039277638119, 0.04167530422624438, 0.03487327197888115, 0.029482131804397085, 0.025152335851383555, 0.021634945456417667, 0.018752486280383826, 0.01637378737420447, 0.014398571607436768, 0.012750042501652376, 0.011368295484672199, 0.010204107697878412, 0.009214776703207339, 0.008366659911672764, 0.007634064748127016, 0.0069967946836873175]",True
1.0,0.0,0.5,0.25,1*(1-eps),"[0.09799316098013683, 0.07700450591647565, 0.06177862381640425, 0.05039277638119, 0.04167530422624438, 0.03487327197888115, 0.029482131804397085, 0.025152335851383555, 0.021634945456417667, 0.018752486280383826, 0.01637378737420447, 0.014398571607436768, 0.012750042501652376, 0.011368295484672199, 0.010204107697878412, 0.009214776703207339, 0.008366659911672764, 0.007634064748127016, 0.0069967946836873175]",True
1.0,0.0,0.5,0.25,0.5*(1-eps),"[0.1529674659078853, 0.13301611275959827, 0.11666170588802945, 0.10306412896224033, 0.09162327693665226, 0.08189914886444474, 0.07356178676080943, 0.06635908645003716, 0.06009508958841456, 0.0546152437066795, 0.049796107107411905, 0.04553791924501311, 0.04175924085854473, 0.0383929724819349, 0.03538412805047797, 0.032688609938086324, 0.0302625038692946, 0.028074943612338848, 0.02609866829606775]",True
1.0,0.0,0.5,0.25,0.25*(1-eps),"[0.19390647781076742, 0.17945658966046904, 0.16658174729376193, 0.15504926355540014, 0.14466983605018763, 0.13528789693527365, 0.1267744366088215, 0.11902153633850601, 0.11193827371946045, 0.10544746879894666, 0.09948319939086873, 0.09398882357142697, 0.08891539951405081, 0.08422041876087025, 0.07986682112167347, 0.07582207672091468, 0.0720575890901205, 0.06854808279755704, 0.06527115081116826]",True
